,np_id,species_list,org_id,pref_name,molecule_chembl_id,pubchem_cid,smiles
22,NPC294548,Passiflora edulis; Brassica rapa; Garcinia macrophylla; Corchorus olitorius; Satureja hortensis; Chenopodium quinoa; Dipterocarpus dyeri; Carum carvi; Dioscorea pentaphylla; Citrus aurantiifolia; Ipomoea cairica; Salvia hispanica; Rumex acetosa; Cucumis melo; Elaeis guineensis; Gouania microcarpa; Vitex negundo; Monodora angolensis; Gossypium barbadense; Morus cathayana; Prunus persica; Chromolaena odorata; Lonicera japonica; Lepidium sativum; Ananas comosus; Zea mays; Daucus carota; Xylopia aethiopica; Mirabilis jalapa; Capsicum annuum; Avena sativa; Persea americana; Codiaeum variegatum; Vitis vinifera; Aegiceras corniculatum; Panicum miliaceum; Benincasa hispida; Artocarpus heterophyllus; Lycium chinense; Fragaria vesca; Sonneratia alba; Abelmoschus esculentus; Curcuma phaeocaulis; Cajanus cajan; Carthamus tinctorius; Medicago sativa; Samanea saman; Bertholletia excelsa; Thymus vulgaris; Ocimum basilicum; Bidens pilosa; Lasianthus fordii; Zingiber officinale; Madhuca longifolia; Vigna unguiculata; Plantago major; Punica granatum; Anethum graveolens; Manihot esculenta; Drosera indica; Hordeum vulgare; Kaempferia pulchra; Allium ampeloprasum; Allium schoenoprasum; Ficus carica; Chrysanthemum indicum; Colocasia esculenta; Drosera peltata; Callistemon coccineus; Vicia faba; Alpinia zerumbet; Psilotum nudum; Curcuma longa; Uncaria sterrophylla; Lupinus albus; Dipterocarpus alatus; Boenninghausenia albiflora; Sesamum orientale; Cibotium barometz; Dioscorea polystachya; Linum usitatissimum; Arachis hypogaea; Citrus reticulata; Bursaria spinosa; Beta vulgaris; Ophiorrhiza blumeana; Lablab purpureus; Fagopyrum esculentum; Sorghum bicolor; Taraxacum officinale; Terminalia chebula; Apium graveolens; Taraxacum mongolicum; Vigna radiata; Carica papaya; Citrus maxima; Vigna mungo; Ulva prolifera; Ipomoea batatas; Olea europaea; Sesbania punicea; Eragrostis viscosa; Nauclea officinalis; Piper nigrum; Mangifera indica; Alstonia spectabilis; Croton tiglium; Solanum lycopersicum; Citrus limon; Psidium guajava; Plantago asiatica; Nelumbo nucifera; Cucurbita pepo; Syzygium aromaticum; Eragrostis tef; Solanum tuberosum; Bruguiera gymnorhiza; Helianthus annuus; Portulaca oleracea; Phaseolus vulgaris; Musa acuminata; Petroselinum crispum; Ziziphus jujuba; Securidaca inappendiculata; Gardenia tubifera; Canarium strictum; Allium sativum; Rhizophora mucronata; Brassica napus; Cannabis sativa; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Elettaria cardamomum; Solanum melongena; Sinapis alba; Asparagus officinalis; Curcuma zedoaria; Cicer arietinum; Artocarpus altilis; Cinnamomum aromaticum; Oryza sativa; Triticum aestivum; Perilla frutescens; Anacardium occidentale; Plantago depressa; Citrullus lanatus; Papaver somniferum; Psophocarpus tetragonolobus; Psidium cattleianum; Coffea arabica,NPO14821,Linolenic Acid,CHEMBL8739,5280934,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O
23,NPC301585,Lespedeza cyrtobotrya; Garcinia macrophylla; Salvia hispanica; Pyrola japonica; Elaeis guineensis; Houttuynia cordata; Gouania microcarpa; Aquilaria sinensis; Vitex negundo; Lobelia chinensis; Monodora angolensis; Gossypium barbadense; Morus cathayana; Lonicera japonica; Xylopia aethiopica; Mirabilis jalapa; Capsicum annuum; Vitis vinifera; Aegiceras corniculatum; Benincasa hispida; Avrainvillea nigricans; Lycium chinense; Sonneratia alba; Agrimonia pilosa; Curcuma phaeocaulis; Rhododendron ferrugineum; Diospyros kaki; Carthamus tinctorius; Phaseolus lunatus; Senecio scandens; Vallaris solanacea; Gmelina arborea; Zingiber officinale; Combretum indicum; Plantago major; Punica granatum; Vitex trifolia; Chrysanthemum indicum; Jasminum grandiflorum; Viscum coloratum; Imperata cylindrica; Jatropha curcas; Curcuma longa; Linum usitatissimum; Citrus reticulata; Ophiorrhiza blumeana; Euphorbia hirta; Terminalia chebula; Garcinia lateriflora; Ulva prolifera; Eragrostis viscosa; Nauclea officinalis; Mangifera indica; Nelumbo nucifera; Bruguiera gymnorhiza; Helianthus annuus; Portulaca oleracea; Myristica fragrans; Ziziphus jujuba; Cocos nucifera; Canarium strictum; Raphanus sativus; Glycine max; Elettaria cardamomum; Diospyros montana; Gardenia jasminoides,NPO25114,Myristic Acid,CHEMBL111077,11005,CCCCCCCCCCCCCC(=O)O
24,NPC36061,Garcinia macrophylla; Salvia hispanica; Cucumis melo; Elaeis guineensis; Gouania microcarpa; Aquilaria sinensis; Monodora angolensis; Gossypium barbadense; Morus cathayana; Adenanthera pavonina; Citrus medica; Capsicum annuum; Vitis vinifera; Benincasa hispida; Avrainvillea nigricans; Agrimonia pilosa; Curcuma phaeocaulis; Rhododendron ferrugineum; Carthamus tinctorius; Melia azedarach; Senecio scandens; Vallaris solanacea; Zingiber officinale; Punica granatum; Vitex trifolia; Callistemon coccineus; Jasminum grandiflorum; Viscum coloratum; Alpinia zerumbet; Curcuma longa; Sesamum orientale; Linum usitatissimum; Citrus reticulata; Ophiorrhiza blumeana; Macadamia ternifolia; Alstonia spectabilis; Andrographis paniculata; Helianthus annuus; Portulaca oleracea; Petroselinum crispum; Ziziphus jujuba; Canarium strictum; Raphanus sativus; Glycine max; Elettaria cardamomum; Cinnamomum aromaticum,NPO14701,Palmitoleic Acid,CHEMBL453509,445638,CCCCCC/C=C\CCCCCCCC(=O)O
25,NPC5413,Hydrolithon reinboldii; Zea mays; Daucus carota; Capsicum annuum; Persea americana; Vitis vinifera; Borago officinalis; Ocimum basilicum; Arachis hypogaea; Vicia sativa; Solanum tuberosum; Phaseolus vulgaris; Petroselinum crispum; Cannabis sativa; Raphanus sativus,NPO27293,Gamolenic Acid,CHEMBL464982,5280933,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O
26,NPC85813,Nerium oleander; Passiflora edulis; Capparis spinosa; Allium tuberosum; Asplenium normale; Brassica rapa; Alstonia muelleriana; Garcinia macrophylla; Trifolium alexandrinum; Corchorus olitorius; Satureja hortensis; Chenopodium quinoa; Sauromatum giganteum; Carum carvi; Corylus avellana; Dioscorea pentaphylla; Citrus aurantiifolia; Salvia hispanica; Cucumis melo; Solanum jamaicense; Elaeis guineensis; Houttuynia cordata; Gouania microcarpa; Vitex negundo; Monodora angolensis; Gossypium barbadense; Ceratophyllum submersum; Morus cathayana; Brucea javanica; Prunus persica; Chromolaena odorata; Lonicera japonica; Theobroma cacao; Vitex rotundifolia; Luffa aegyptiaca; Lepidium sativum; Ananas comosus; Citrus medica; Zea mays; Daucus carota; Xylopia aethiopica; Mirabilis jalapa; Capsicum annuum; Avena sativa; Persea americana; Codiaeum variegatum; Vitis vinifera; Aegiceras corniculatum; Panicum miliaceum; Benincasa hispida; Artocarpus heterophyllus; Lycium chinense; Sonneratia alba; Agrimonia pilosa; Abelmoschus esculentus; Curcuma phaeocaulis; Cajanus cajan; Carthamus tinctorius; Medicago sativa; Samanea saman; Bertholletia excelsa; Melia azedarach; Borago officinalis; Phaseolus lunatus; Thymus vulgaris; Lygodium japonicum; Gmelina arborea; Eclipta prostrata; Bidens pilosa; Zingiber officinale; Psychotria serpens; Madhuca longifolia; Vigna unguiculata; Plantago major; Punica granatum; Vitex trifolia; Anethum graveolens; Polygala sibirica; Manihot esculenta; Bidens tripartita; Jagera pseudorhus; Hypericum japonicum; Drosera indica; Hordeum vulgare; Kaempferia pulchra; Allium ampeloprasum; Allium schoenoprasum; Ficus carica; Colocasia esculenta; Drosera peltata; Xyris indica; Viscum coloratum; Polygala glomerata; Coriandrum sativum; Vicia faba; Imperata cylindrica; Gomphostemma parviflorum; Myristica gigantea; Hippobroma longiflora; Psilotum nudum; Curcuma longa; Uncaria sterrophylla; Lupinus albus; Tamarindus indica; Dipterocarpus alatus; Boenninghausenia albiflora; Sesamum orientale; Cibotium barometz; Dioscorea polystachya; Datura metel; Xanthium strumarium; Linum usitatissimum; Arachis hypogaea; Citrus reticulata; Bursaria spinosa; Beta vulgaris; Ophiorrhiza blumeana; Lablab purpureus; Fagopyrum esculentum; Sorghum bicolor; Taraxacum officinale; Terminalia chebula; Apium graveolens; Taraxacum mongolicum; Vigna radiata; Carica papaya; Virola surinamensis; Vigna mungo; Morus alba; Foeniculum vulgare; Ulva prolifera; Uncaria longiflora; Ipomoea batatas; Olea europaea; Tubocapsicum anomalum; Sesbania punicea; Cuscuta australis; Eucalyptus viminalis; Cullen corylifolium; Eragrostis viscosa; Nauclea officinalis; Piper nigrum; Myrrhis odorata; Mangifera indica; Pogostemon cablin; Croton tiglium; Solanum lycopersicum; Citrus limon; Psidium guajava; Nelumbo nucifera; Cucurbita pepo; Syzygium aromaticum; Solanum tuberosum; Bruguiera gymnorhiza; Helianthus annuus; Portulaca oleracea; Phaseolus vulgaris; Lagenaria siceraria; Dipteryx odorata; Glycine tomentella; Myristica fragrans; Musa acuminata; Castanea crenata; Petroselinum crispum; Ziziphus jujuba; Cocos nucifera; Securidaca inappendiculata; Canarium strictum; Allium sativum; Rhizophora mucronata; Brassica napus; Malus sylvestris; Cannabis sativa; Cucumis sativus; Raphanus sativus; Brassica oleracea; Glycine max; Cratoxylum maingayi; Elettaria cardamomum; Solanum melongena; Sinapis alba; Asparagus officinalis; Curcuma zedoaria; Cicer arietinum; Artocarpus altilis; Momordica charantia; Oryza sativa; Triticum aestivum; Perilla frutescens; Anacardium occidentale; Citrullus lanatus; Papaver somniferum; Psophocarpus tetragonolobus; Psidium cattleianum,NPO19975,Linoleic Acid,CHEMBL267476,5280450,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O
27,NPC91495,Myroxylon balsamum; Humboldtia laurifolia; Agrimonia eupatoria; Selaginella uncinata; Prunus persica; Cheilanthes tenuifolia; Persea americana; Pterocaulon alopecuroides; Palhinhaea cernua; Curcuma longa; Senna siamea; Fagopyrum esculentum; Portulaca oleracea; Brassica oleracea,NPO12323,Arachidonic Acid,CHEMBL15594,444899,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
28,NPC250361,Murraya koenigii,NPO3364,Carbazole,CHEMBL243580,6854,c1ccc2c(c1)[nH]c1ccccc12
29,NPC279915,Camellia sinensis,NPO8258,Theasaponin E2,CHEMBL500731,44566567,C/C=C\C(=O)O[C@H]1[C@H](O)[C@]2(COC(C)=O)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O)[C@H]7O[C@@H]7OC[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@@](C)(C=O)C5CC[C@]43C)[C@@H]2CC1(C)C
30,NPC124302,Coptis teeta,NPO22622,"6,7-Dimethoxy-3-(6-Methyl-7,8-Dihydro-5H-[1,3]Dioxolo[4,5-G]Isoquinolin-5-Yl)-3H-2-Benzofuran-1-One",CHEMBL1256868,1309,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3
31,NPC223185,Coix lacryma-jobi,NPO12126,4-Ketopinoresinol,CHEMBL479035,44578390,COc1cc([C@H]2OC(=O)[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O
32,NPC266572,Morus alba,NPO7154,Glabrone,CHEMBL600457,5317652,CC1(C)C=Cc2c(ccc(-c3coc4cc(O)ccc4c3=O)c2O)O1
33,NPC472283,Swietenia macrophylla,NPO3136,QYULJHYYKMGSKH-ZPGLWJSISA-N,CHEMBL3357581,14587331,C/C=C(\C)C(=O)O[C@@H]1[C@H]2C=C3[C@@H]4CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CC[C@@H]3[C@@](C)(C2=O)[C@@H]([C@@H](OC(C)=O)C(=O)OC)C1(C)C
34,NPC117992,Neomeris annulata,NPO5276,Dulxanthone B,CHEMBL2147809,10787706,COc1c(CC=C(C)C)c(O)c2c(=O)c3ccc(O)c(O)c3oc2c1CC=C(C)C
35,NPC475009,Myristica fragrans,NPO5241,1-(2-Hydroxy-6-Methoxyphenyl)-9-(4-Methoxyphenyl)Nonan-1-One,CHEMBL491791,13965862,COc1ccc(CCCCCCCCC(=O)c2c(O)cccc2OC)cc1
36,NPC126101,Rhododendron ferrugineum,NPO18212,Ferruginene B,CHEMBL1775032,52951887,C=C(C/C=C/C(C)(C)O)[C@@H]1CC[C@](C)(O)[C@H]2Oc3cc(C)cc(O)c3[C@@H]12
37,NPC66991,Quercus petraea,NPO28250,"(2R,3'r,6's)-3'-Hydroxy-2',2',6'-Trimethylspiro[3H-1-Benzofuran-2,1'-Cyclohexane]-5-Carboxylic Acid",CHEMBL1079167,44416729,C[C@H]1CC[C@@H](O)C(C)(C)[C@@]12Cc1cc(C(=O)O)ccc1O2
38,NPC32177,Antiaris toxicaria,NPO8369,Antiaroside B,CHEMBL1169847,46872577,C[C@@H]1O[C@@H](O[C@H]2CC[C@@]3(CO)[C@H](CC[C@@H]4[C@@H]3CC[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
39,NPC18945,Brucea javanica,NPO14948,Brusatol,CHEMBL450464,12302104,COC(=O)[C@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)CC(=O)C(O)=C(C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24
40,NPC251236,Quassia amara,NPO704,Quassimarin,CHEMBL444177,44566234,CC[C@](C)(OC(C)=O)C(=O)O[C@H]1C(=O)O[C@@H]2C[C@H]3C(C)=CC(=O)[C@@H](O)[C@]3(C)[C@H]3[C@@H](O)[C@H](O)[C@@]4(C)OC[C@]32[C@@H]14
41,NPC214368,Toxicodendron succedaneum,NPO12309,Pitucamycin,CHEMBL1224596,46939682,NC(=O)C1=C(N)[C@@H](O)[C@H](O)[C@@H](Nc2cc3nc4cc(CO)ccc4oc-3cc2=O)C1=O
42,NPC78046,Calliandra haematocephala; Taraxacum officinale; Terminalia chebula,NPO26399,Oblonganoside B,CHEMBL2268499,16216518,CC1=C(C)[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)CC1
43,NPC44260,Amphorogyne spicata; Benincasa hispida; Strophanthus preussii; Jacquemontia paniculata; Phytolacca acinosa; Grangea maderaspatana; Rheum officinale; Cardiospermum halicacabum; Aglaia elaeagnoidea; Punica granatum; Dillenia indica; Photinia serratifolia; Cuphea carthagenensis,NPO28912,"1,2,6-Tri-O-Galloyl-Beta-D-Glucose",CHEMBL447974,440308,O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@@H]1O)c1cc(O)c(O)c(O)c1
44,NPC156869,Lycopodium japonicum; Calophyllum inophyllum; Laurencia decumbens,NPO7703,Quercetin 3-O-Beta-D-Glucopyranosyl-4-O-Beta-D-Glucopyranoside,CHEMBL1097317,5320834,O=c1c(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
45,NPC103647,Mascarenhasia arborescens; Kummerowia striata; Sida cordifolia; Solanum sisymbriifolium; Salacia chinensis; Merremia umbellata,NPO9780,3-Oxo-29-Hydroxyfriedelane,CHEMBL516320,14108943,C[C@H]1C(=O)CC[C@@H]2[C@]1(C)CC[C@H]1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(CO)CC[C@]3(C)CC[C@]12C
46,NPC66052,Duranta erecta; Carum carvi; Phalaenopsis amabilis; Calophyllum teysmannii; Rheum officinale; Punica granatum; Xanthium strumarium; Rheum palmatum; Brassica juncea; Pogostemon cablin,NPO21349,Sorbitol,CHEMBL1682,5780,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
47,NPC184437,Alseodaphne perakensis,NPO11155,Hydroxycryptolepine,CHEMBL504189,n.a.,Cn1c2c3ccccc3nc-2c(O)c2ccccc21
48,NPC18128,Arundina graminifolia,NPO6006,Gramistilbenoid C,CHEMBL2431357,72702681,COc1cc(/C=C/c2cc(O)c(CCO)c(O)c2)cc(OC)c1
49,NPC85078,Lygodium japonicum,NPO1960,Isosorbide Dinitrate,CHEMBL6622,6883,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-]
50,NPC118524,Crotalaria tetragona,NPO1517,L-Erythro-Tricholomic Acid,CHEMBL260328,441456,N[C@H](C(=O)O)[C@@H]1CC(O)=NO1
51,NPC278323,Dalbergia parviflora,NPO14114,2'-Methoxybiochanin A,CHEMBL1088580,44257324,COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)c(OC)c1
52,NPC246229,Salvinia molesta,NPO4984,XNPVHIQPSAZTLC-NYUBLWNDSA-N,CHEMBL464376,23243692,CO[C@H]1c2cc(C(C)C)c(O)c(O)c2[C@@]23CCCC(C)(C)[C@@H]2[C@@H]1OC3=O
53,NPC229262,Piper cubeba; Citrus aurantiifolia; Vitex negundo; Citrus medica; Daucus carota; Capsicum annuum; Santalum album; Agrimonia pilosa; Curcuma phaeocaulis; Melia azedarach; Thymus vulgaris; Ocimum basilicum; Zingiber officinale; Curcuma longa; Murraya paniculata; Platycladus orientalis; Foeniculum vulgare; Piper nigrum; Amomum compactum; Litsea cubeba; Citrus limon; Petroselinum crispum; Citrus aurantium; Elettaria cardamomum,NPO17691,"1-Methyl-4-(6-Methylhepta-1,5-Dien-2-Yl)Cyclohexene",CHEMBL2001434,403919,C=C(CCC=C(C)C)C1CC=C(C)CC1
54,NPC34376,Pongamia pinnata,NPO30165,JRTNAZKQGYGUQE-SFHVURJKSA-N,CHEMBL3581072,n.a.,CC1(C)C=Cc2c(ccc3c2O[C@H](c2ccc4c(c2)OCO4)CC3=O)O1
55,NPC213401,Vitex rotundifolia,NPO15454,Vitrofolal D,CHEMBL478086,10384147,COc1cc2c(cc1OC)-c1c(c(C=O)cc3ccc(O)c(OC)c13)C2=O
56,NPC234888,Gomphrena globosa; Crinum asiaticum,NPO13080,1-Iodohexadecane,CHEMBL1233571,11007,CCCCCCCCCCCCCCCCI
57,NPC278476,Broussonetia papyrifera,NPO5495,"(2R,3R)-Lespedezaflavanone C",CHEMBL463256,14542252,CC(C)=CCc1cc([C@H]2Oc3c(CC=C(C)C)c(O)cc(O)c3C(=O)[C@@H]2O)ccc1O
58,NPC70542,Antiaris toxicaria,NPO8369,Antiaroside L,CHEMBL2419867,73347666,C[C@H]1O[C@@H](O[C@@H]2CC[C@]3(C=O)[C@H]4C[C@@H](O)[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@@H]1O
59,NPC162685,Lygodium japonicum,NPO24093,"2-[(3S,3As,5Ar,5Br,7As,11As,11Br,13Ar,13Bs)-5A,5B,8,8,11A,13B-Hexamethyl-1,2,3,3A,4,5,6,7,7A,9,10,11,11B,12,13,13A-Hexadecahydrocyclopenta[A]Chrysen-3-Yl]Propan-2-Ol",CHEMBL2448591,164874,CC(C)(O)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)CCCC(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12
60,NPC328267,Hypericum monogynum; Hypericum uralum,NPO5743,Fluoxetine,CHEMBL41,3386,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
61,NPC180204,Gynostemma pentaphyllum; Dahlia pinnata,NPO11990,Gypensapogenin G,CHEMBL2313423,71517218,CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@H](C5=C[C@H](CC(C)(C)O)OC5=O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C
62,NPC144854,Vitex negundo; Aralidium pinnatifidum; Eurycoma longifolia,NPO6626,CUGAWYNVYRXBFW-ANTZAFMPSA-N,CHEMBL1081417,46878901,CC1=CC(=O)[C@@H](O)[C@]2(C)[C@H]3[C@@H](O)[C@@H]4OC(=O)[C@@H]([C@H]4C)[C@]3(C)[C@H](O)C[C@@H]12
63,NPC317305,Zingiber officinale,NPO20553,5-Hydroxy-1-(4-Hydroxyphenyl)Decan-3-One,CHEMBL1950586,9795270,CCCCCC(O)CC(=O)CCc1ccc(O)cc1
64,NPC471071,Aegle marmelos,NPO5045,R-(+)-Marmin-6'-Linoleate,CHEMBL2346917,71584690,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](CC/C(C)=C/COc1ccc2ccc(=O)oc2c1)C(C)(C)O
65,NPC45522,Drosera spatulata; Buphthalmum salicifolium,NPO17829,Patuletin 3-O-Beta-D-Glucoside,CHEMBL2037045,11968829,COc1c(O)cc2oc(-c3ccc(O)c(O)c3)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(=O)c2c1O
66,NPC186588,Nardia succulenta; Gracilariopsis lemaneiformis,NPO7474,Dendocarbin N,CHEMBL459606,21592441,CC1(C)CCC[C@]2(C)[C@H]3[C@H](O)OC[C@]34O[C@@H]4[C@H](O)[C@@H]12
67,NPC13755,Sphaeranthus indicus; Etlingera littoralis; Chelidonium majus; Abelmoschus esculentus; Ocimum basilicum; Asplenium adiantum-nigrum; Limnophila rugosa; Pityrogramma chrysophylla; Cinnamomum aromaticum; Anacardium occidentale; Averrhoa carambola,NPO10116,Para-Methoxy Cinnamaldehyde,CHEMBL452173,641294,COc1ccc(/C=C/C=O)cc1
68,NPC41461,Diospyros eriantha; Salvia hispanica; Atalantia racemosa; Pteris semipinnata,NPO24390.1,"2',4-Dihydroxy-4',6'-Dimethoxy-3'-Prenylchalcone",CHEMBL466335,10959555,COc1cc(OC)c(C(=O)/C=C/c2ccc(O)cc2)c(O)c1CC=C(C)C
69,NPC236089,Ilex crenata; Aglaia edulis,NPO23941,Pannellin,CHEMBL464992,10791693,COC(=O)[C@H]1[C@@H](O)[C@@]2(O)c3c(cc4c(c3OC)OCO4)O[C@@]2(c2ccc(OC)cc2)[C@@H]1c1ccccc1
70,NPC256133,Nephelium maingayi,NPO19602,Nephelioside Iv,CHEMBL448391,21575018,CO[C@@H]1C[C@H]2C(C)(C)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4OC[C@H](O)[C@H](O)[C@H]4O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]2(C)[C@H]2CC=C3[C@@H]4CC(C)(C)CC[C@]4(CO)CC[C@@]3(C)[C@@]21C
71,NPC276944,Nandina domestica,NPO28410,PQECCKIOFCWGRJ-UHFFFAOYSA-N,CHEMBL2314746,261619,COc1ccc2c(c1O)CN1CCc3cc4c(cc3C1C2)OCO4
72,NPC244875,Evolvulus alsinoides,NPO22311,Evolvoside E,CHEMBL2336774,71524830,COc1cc(OC)c2c(=O)c(O)c(-c3ccc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3)oc2c1
73,NPC220858,Annona squamosa,NPO2884,Isocoreximine,CHEMBL1164088,10616178,COc1cc2c(cc1O)C[C@H]1c3cc(OC)c(O)cc3CCN1C2
74,NPC47946,Piper cubeba; Pteris dispar; Houttuynia cordata; Vitex negundo; Citrus medica; Daucus carota; Vitis vinifera; Agrimonia pilosa; Curcuma phaeocaulis; Artemisia scoparia; Thymus vulgaris; Zingiber officinale; Curcuma longa; Liparis nervosa; Citrus reticulata; Citrus maxima; Litsea cubeba; Citrus limon; Allium victorialis; Zanthoxylum bungeanum; Citrus aurantium; Elettaria cardamomum,NPO6571,Geranyl Acetate,CHEMBL1369384,1549026,CC(=O)OC/C=C(\C)CCC=C(C)C
75,NPC156818,Camellia sinensis,NPO8258,(-)-Epiafzelechin Gallate,CHEMBL159706,467295,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)cc1)c1cc(O)c(O)c(O)c1
76,NPC89929,Asplenium normale; Trifolium alexandrinum; Solanum jamaicense; Ceratophyllum submersum; Brucea javanica; Castanea crenata,NPO9203,Javanicolide C,CHEMBL443898,11214625,COC(=O)[C@@]12OC[C@]34[C@H]([C@@H](O)[C@@H]1O)[C@@]1(C)C[C@@H](O)[C@@H](O)[C@@H](C)[C@@H]1C[C@H]3OC(=O)[C@H](OC(=O)C=C(C)C)[C@@H]24
77,NPC474285,Plumeria rubra,NPO12734,15-Demethylplumieride,CHEMBL464702,44593505,C[C@H](O)C1=C[C@@]2(C=C[C@@H]3C(C(=O)O)=CO[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]32)OC1=O
78,NPC470714,Allium victorialis,NPO3860.1,Allivictoside C,CHEMBL2206199,71450590,O=C(/C=C/c1ccc(O)cc1)O[C@H]1[C@H](Oc2c(-c3ccc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc3)oc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c2=O)O[C@H](CO)[C@@H](O)[C@@H]1O
79,NPC157193,Dipterocarpus dyeri; Ipomoea cairica; Fragaria vesca; Lasianthus fordii; Gardenia tubifera; Perilla frutescens,NPO1795,Methyl Alpha-D-Galactoside,CHEMBL467773,76935,CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
80,NPC55732,Xanthium strumarium,NPO2494,"7-(Hydroxymethyl)-8,8-Dimethyl-4H-1,4-Benzothiazine-3,5-Dione",CHEMBL1350218,15945057,CC1(C)C(CO)=CC(=O)C2=C1SCC(=O)N2
81,NPC321505,Cocculus laurifolius,NPO27912,Methyl Coclaurine,CHEMBL453292,2752274,COc1cc2c(cc1O)C(Cc1ccc(O)cc1)N(C)CC2
82,NPC224624,Piper longum,NPO26237,"(3R,4S)-3,4-Dihydroxypiperidin-2-One",CHEMBL2347642,71720812,O=C1NCC[C@H](O)[C@H]1O
83,NPC49983,Punica granatum; Quercus petraea,NPO28472,Vescalagin,CHEMBL607711,168165,O=C1OCC2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC(C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O)C1OC(=O)c2c-4c(O)c(O)c(O)c2C1O
84,NPC470114,Azadirachta indica,NPO4406,MROCGOLKYILTRS-AYYQWHTISA-N,CHEMBL1774405,54580355,CCC(C)C(=O)O[C@@H]1[C@@H]2OC[C@]3(C)[C@H](OC(C)=O)C[C@H](O)[C@](C)([C@H]4CC[C@@](C)([C@@H](C)[C@H]5COC(=O)C5)C[C@]14C)[C@@H]23
