np_id	pref_name	iupac_name	chembl_id	pubchem_cid	num_of_organism	num_of_target	num_of_activity	if_has_Quantity
NPC34243	2,5-Dihydroxy-3,6-Diphenyl-1,4-Benzoquinone	2,5-dihydroxy-3,6-diphenylcyclohexa-2,5-diene-1,4-dione	CHEMBL480678	11056	22	1	2	No
NPC34245	3'-Hydroxymelanettin	4-(3,4-dihydroxyphenyl)-6-hydroxy-7-methoxychromen-2-one	CHEMBL2397756	5318262	11	1	1	No
NPC34247	HMLGXKHWABZSIS-YWPYICTPSA-N	n.a.	n.a.	5317414	32	0	0	No
NPC34251	WZIPAGOFYCDCEJ-CXUPXKKVSA-N	n.a.	n.a.	n.a.	23	0	0	No
NPC34252	OEJGVNMSFPGDPP-RNVTXESHSA-N	n.a.	n.a.	101014741	3	0	0	No
NPC34258	VLXDPFLIRFYIME-QRTUWBSPSA-N	n.a.	n.a.	20055075	18	0	0	No
NPC34262	BUIOBTSUIYLOKG-GVGHWTDYSA-N	n.a.	n.a.	n.a.	1	0	0	No
NPC34265	LHYHMMRYTDARSZ-XSCHDIRWSA-N	n.a.	n.a.	6429185	4	0	0	No
NPC34267	3-O-(6''-O-E-Caffeoyl)-Beta-D-Galactopyranoside	[(2R,3R,4S,5R,6S)-6-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(3,4-dihydroxyphenyl)prop-2-enoate	CHEMBL503602	10984927	1	2	2	No
NPC34269	RMZWZXDQVAILGH-SRHDKNENSA-N	n.a.	n.a.	n.a.	7	0	0	No
NPC34270	VCWMRQDBPZKXKG-AELZVTBBSA-N	n.a.	n.a.	45109775	1	0	0	No
NPC34271	FDYCJJJTQUSEOV-HEPDKZGESA-N	n.a.	CHEMBL2408950	71745335	2	1	1	No
NPC34282	KWBJHFZVVWEUTI-JSXPJZBBSA-N	n.a.	n.a.	11968664	2	0	0	No
NPC34283	QAUFACGSJSABOB-GFCCVEGCSA-N	n.a.	n.a.	n.a.	4	0	0	No
NPC34287	Neolancerin	1,3,7-trihydroxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyxanthen-9-one	CHEMBL2436931	73346478	1	1	2	No
NPC34289	CWQMTQFWHBKWRD-HITLURFISA-N	n.a.	n.a.	n.a.	28	0	0	No
NPC34291	6-Epi-Castanospermine	(1S,6R,7R,8R,8aR)-1,2,3,5,6,7,8,8a-octahydroindolizine-1,6,7,8-tetrol	CHEMBL464490	184806	12	2	2	No
NPC34293	6'-O-Coumaroyl-1'-O-[2-(3,4-Dihydroxyphenyl)Ethyl]-Beta-D-Glucopyranoside	[(2R,3S,4S,5R,6R)-6-[2-(3,4-dihydroxyphenyl)ethoxy]-3,4,5-trihydroxyoxan-2-yl]methyl (E)-3-(4-hydroxyphenyl)prop-2-enoate	CHEMBL469622	11719580	2	1	2	No
NPC34300	Nitropyrrolin B	4-[[(2R,3R)-3-[(3E)-4,8-dimethylnona-3,7-dienyl]-3-methyloxiran-2-yl]methyl]-2-nitro-1H-pyrrole	CHEMBL1651435	50908452	2	2	2	No
NPC34303	VUTHUFKTXIOUJH-ANKWKMGHSA-N	n.a.	n.a.	n.a.	13	0	0	No
NPC34315	Terretonin E	methyl (2R,4aS,4bR,10S,10aR,10bR,12aS)-6,10-dihydroxy-2,4b,7,7,10a,12a-hexamethyl-12-methylidene-1,4,5,8-tetraoxo-9,10,10b,11-tetrahydronaphtho[1,2-h]isochromene-4a-carboxylate	CHEMBL558895	45273302	1	1	1	No
NPC34319	Venturamide B	n.a.	CHEMBL558012	16115401	1	5	7	No
NPC34320	KUODBSWFMJMVJV-UKWJTHFESA-N	n.a.	n.a.	156680	2	0	0	No
NPC34333	UNCQAFYASAWAFL-VFVYJULOSA-N	n.a.	n.a.	5315419	3	0	0	No
NPC34338	BOVSXLSGCVAGCZ-VAAAJQFKSA-N	n.a.	n.a.	n.a.	39	0	0	No
NPC34340	MAOPXQYEMSJCAC-DHBBSKIHSA-N	n.a.	n.a.	n.a.	22	0	0	No
NPC34344	FTLSNJYQNPACDY-BBAZIBAGSA-N	n.a.	n.a.	24763070	1	0	0	No
NPC34355	IOKOKQLQQNTWHO-XACZSBPGSA-N	n.a.	n.a.	72945298	14	0	0	No
