taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
9644906	Athyrium sylvaticum (Bory) Milde	4015949	Diplazium sylvaticum (Bory) Sw.	9	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Athyriaceae	4922264	Diplazium	2650853	Diplazium sylvaticum	4015949	NE
9765658	Trigonospora tenera (Roxb.) Mazumdar	9765658	Trigonospora tenera (Roxb.) Mazumdar	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Thelypteridaceae	6618	Trigonospora	8404779	Trigonospora tenera	9765658	NE
12058798	Heptapleurum monticola (Ridl.) G.M.Plunkett & Lowry	12058798	Heptapleurum monticola (Ridl.) G.M.Plunkett & Lowry	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Araliaceae	8800	Heptapleurum	7314503	Heptapleurum monticola	12058798	DD
2385	Actinidiaceae	2385	Actinidiaceae	1	FAMILY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Actinidiaceae	2385					NE
2642991	Caulerpa verticillata J.Agardh	2642991	Caulerpa verticillata J.Agardh	7	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Bryopsidales	625	Caulerpaceae	4674	Caulerpa	2642861	Caulerpa verticillata	2642991	NE
2643426	Udotea flabellum (J.Ellis & Sol.) M.A.Howe	2643426	Udotea flabellum (J.Ellis & Sol.) M.A.Howe	16	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Bryopsidales	625	Udoteaceae	5272280	Udotea	9763065	Udotea flabellum	2643426	NE
2650103	Azolla Lam.	2650103	Azolla Lam.	2	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Salviniales	7229405	Salviniaceae	6629	Azolla	2650103			NE
2669945	Chaetomitrium torquescens Bosch & Sande Lac.	2669945	Chaetomitrium torquescens Bosch & Sande Lac.	2	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Symphyodontaceae	5838255	Chaetomitrium	9557913	Chaetomitrium torquescens	2669945	NE
2669957	Chaetomitrium perlaeve Dixon	2669957	Chaetomitrium perlaeve Dixon	2	SPECIES	ACCEPTED	Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Symphyodontaceae	5838255	Chaetomitrium	9557913	Chaetomitrium perlaeve	2669957	NE
2683219	Cycas apoa K.D.Hill	2683219	Cycas apoa K.D.Hill	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Cycadopsida	228	Cycadales	834	Cycadaceae	6168	Cycas	2683206	Cycas apoa	2683219	NT
